City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,brejinho,-6.1908,-35.3567,83.5,52,49,14.97,BR,1701285361
302,san borja,-14.8167,-66.85,91.58,49,100,6.62,BO,1701285362
303,champerico,14.3,-91.9167,97.34,68,69,6.91,GT,1701285362
304,el alto,-4.2714,-81.2147,80.26,68,31,15.21,PE,1701285362
305,qarqaraly,49.4058,75.4742,37.81,59,100,7.96,KZ,1701285363
306,praia da vitoria,38.7333,-27.0667,61.75,94,75,30.06,PT,1701285363
307,papao,-17.75,-149.55,85.68,86,83,23.64,PF,1701285363
308,cidreira,-30.1811,-50.2056,72.64,84,36,18.23,BR,1701285132
309,fortuna,40.5982,-124.1573,62.92,61,0,1.99,US,1701285364
310,coronel dorrego,-38.7187,-61.2873,87.19,10,0,11.21,AR,1701285364
311,terrace,54.5163,-128.6035,39.22,81,100,16.11,CA,1701285365
312,masjed soleyman,31.9364,49.3039,63.95,61,100,1.72,IR,1701285365
313,dehdasht,30.7949,50.5646,58.71,68,93,0.94,IR,1701285365
314,lagunas,-5.2269,-75.6753,94.33,44,28,1.23,PE,1701285365
315,lelydorp,5.7,-55.2333,91.49,62,20,9.22,SR,1701285366
316,hastings,50.8552,0.5729,38.52,42,100,9.82,GB,1701285226
317,kharabali,47.4196,47.2568,42.48,69,100,16.67,RU,1701285366
318,linfen,36.0889,111.5189,31.08,21,16,1.83,CN,1701285366
319,papatowai,-46.5619,169.4708,48.4,82,100,10.02,NZ,1701285367
320,al mahwit,15.4701,43.5448,57.88,74,100,0.6,YE,1701285367
321,pandan,14.0453,124.1694,79.41,83,42,10.98,PH,1701285367
322,new norfolk,-42.7826,147.0587,54.91,95,100,2.73,AU,1701285367
323,arrifes,37.7667,-25.7,60.93,94,75,14.97,PT,1701285367
324,vodnyy,63.5046,53.4095,21.42,97,100,2.95,RU,1701285368
325,siem reap,13.5,104.0,73.83,76,100,3.62,KH,1701285368
326,wailua homesteads,22.0669,-159.378,71.13,92,100,8.05,US,1701285368
327,st. john's,47.5649,-52.7093,37.89,92,100,14.97,CA,1701285242
328,laminusa,5.5549,120.9136,82.17,77,100,5.41,PH,1701285369
329,benghazi,32.1167,20.0667,69.49,59,100,8.39,LY,1701285370
330,mahibadhoo,3.7833,72.9667,81.93,77,46,5.35,MV,1701285370
331,ak'ordat,15.5486,37.8867,81.1,37,0,4.7,ER,1701285370
332,puerto rico,-26.796,-55.024,94.64,47,3,3.6,AR,1701285371
333,kharp,66.8014,65.8081,17.74,96,100,4.27,RU,1701285371
334,loreto,22.2667,-101.9667,68.63,45,93,8.97,MX,1701285371
335,molalla,45.1473,-122.577,41.23,80,100,0.0,US,1701285372
336,mancio lima,-7.6142,-72.8958,89.67,55,75,5.75,BR,1701285372
337,chabahar,25.2919,60.643,76.66,67,5,8.9,IR,1701285372
338,mount isa,-20.7333,139.5,76.77,73,99,4.61,AU,1701285373
339,ketchikan,55.3422,-131.6461,42.78,81,100,4.61,US,1701285373
340,poronaysk,49.2167,143.1167,15.42,88,100,10.71,RU,1701285373
341,bubaque,11.2833,-15.8333,82.4,56,9,10.87,GW,1701285374
342,homer,59.6425,-151.5483,39.09,73,20,11.5,US,1701285374
343,cedeira,43.6797,-8.0209,56.97,54,100,17.81,ES,1701285374
344,isangel,-19.55,169.2667,75.31,94,75,0.0,VU,1701285375
345,bairnsdale,-37.8333,147.6167,58.05,99,100,8.01,AU,1701285375
346,yeniseysk,58.4497,92.1703,7.95,71,100,5.01,RU,1701285376
347,lycksele,64.5954,18.6735,21.07,86,100,9.22,SE,1701285376
348,puerto escondido,15.85,-97.0667,86.83,62,40,5.75,MX,1701285377
349,ilha de mocambique,-15.0342,40.7358,81.9,82,0,17.9,MZ,1701285377
350,sarangani,5.4033,125.4636,82.27,77,100,12.26,PH,1701285377
351,severo-yeniseyskiy,60.3725,93.0408,13.53,97,100,2.28,RU,1701285378
352,lerwick,60.1545,-1.1494,39.2,71,99,19.42,GB,1701285378
353,al bahah,20.0129,41.4677,63.82,58,5,2.62,SA,1701285378
354,demirci,39.0461,28.6589,47.77,98,100,5.79,TR,1701285379
355,la cruz,23.9167,-106.9,81.73,40,96,8.9,MX,1701285109
356,nanakuli,21.3906,-158.1547,74.1,91,100,8.05,US,1701285379
357,portage la prairie,49.9728,-98.2926,41.11,58,20,14.97,CA,1701285380
358,damara,4.9608,18.7035,75.09,86,100,4.88,CF,1701285380
359,ugurludag,40.4463,34.4526,50.5,67,100,8.59,TR,1701285380
360,urussu,54.5981,53.4631,12.2,98,66,3.2,RU,1701285381
361,san felice circeo,41.2372,13.0942,51.57,59,11,9.35,IT,1701285381
362,vilyuchinsk,52.9306,158.4028,23.27,90,100,8.84,RU,1701285381
363,tchintabaraden,15.8969,5.7985,83.62,16,0,9.28,NE,1701285382
